row_id,study_id,cohort_id,campaign_name,registry_id,first_author,year,doi,source_file,design,hdt_angle_deg,duration_days,phase,timepoint_days,days_from_unloading_end,exposure_flag,arm_id,arm_type,cm_modality,cm_dose,n_arm,n_analysed,sex,pct_female,age_mean,age_sd,age_min,age_max,population,bmi_mean,body_mass_mean_kg,nutrition_controlled,muscle,muscle_function_class,is_composite,composite_of,laterality,measurement_site,outcome_type,modality,unit_original,value_baseline_original,value_followup_original,unit_si,value_baseline,value_followup,change_absolute,pct_change,variance_of,variance_type,variance_value,p_value,data_source,digitizer_tool,page_ref,extractor,extraction_date,extraction_confidence,double_extracted,qc_flag,notes
krainski2014__exbr__quadriceps__bed_rest_35__MRI_volume,krainski2014,krainski_hdbr35,5-week HDBR with rowing ergometry,NA,Krainski,2014,10.1152/japplphysiol.00803.2013,krainskif12014_pubmed_00369.pdf,HDBR_-6,-6,35,bed_rest,35,NA,analogue,exbr,countermeasure,combined,rowing ergometry six days a week plus resistive strength training twice a week,18,18,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,quadriceps,NA,TRUE,NA,NA,NA,volume,MRI,%,NA,NA,pct_only,NA,NA,NA,-5.0,change,SD,4.0,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;muscle_group_naming_inconsistent_in_abstract,the abstract names plantar flexors for the sedentary arm and calf muscle for the exercise arm; both are recorded as printed rather than harmonised
krainski2014__exbr__whole_calf__bed_rest_35__MRI_volume,krainski2014,krainski_hdbr35,5-week HDBR with rowing ergometry,NA,Krainski,2014,10.1152/japplphysiol.00803.2013,krainskif12014_pubmed_00369.pdf,HDBR_-6,-6,35,bed_rest,35,NA,analogue,exbr,countermeasure,combined,rowing ergometry six days a week plus resistive strength training twice a week,18,18,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,whole_calf,NA,TRUE,NA,NA,NA,volume,MRI,%,NA,NA,pct_only,NA,NA,NA,-14.0,change,SD,6.0,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;muscle_group_naming_inconsistent_in_abstract,the abstract names plantar flexors for the sedentary arm and calf muscle for the exercise arm; both are recorded as printed rather than harmonised
cook2014__ulls__quadriceps__bed_rest_30__MRI_CSA,cook2014,cook_ulls30,30-day unilateral lower limb suspension,NA,Cook,2014,10.1007/s00421-014-2864-3,cooksb12014_pubmed_00240.pdf,ULLS,NA,30,bed_rest,30,NA,analogue,ulls,control,none,NA,8,8,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,quadriceps,NA,TRUE,NA,NA,NA,CSA,MRI,%,NA,NA,pct_only,NA,NA,NA,-7.0,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;no_dispersion_in_abstract;sign_inferred_from_wording,"the abstract prints unsigned magnitudes described as decrements, so the sign is taken from the wording. The exercise arm's knee extensor value is given as an insignificant reduction of about 1%"
cook2014__ulls__triceps_surae__bed_rest_30__MRI_CSA,cook2014,cook_ulls30,30-day unilateral lower limb suspension,NA,Cook,2014,10.1007/s00421-014-2864-3,cooksb12014_pubmed_00240.pdf,ULLS,NA,30,bed_rest,30,NA,analogue,ulls,control,none,NA,8,8,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,triceps_surae,NA,TRUE,NA,NA,NA,CSA,MRI,%,NA,NA,pct_only,NA,NA,NA,-8.0,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;no_dispersion_in_abstract;sign_inferred_from_wording,"the abstract prints unsigned magnitudes described as decrements, so the sign is taken from the wording. The exercise arm's knee extensor value is given as an insignificant reduction of about 1%"
cook2014__ulls_ex__quadriceps__bed_rest_30__MRI_CSA,cook2014,cook_ulls30,30-day unilateral lower limb suspension,NA,Cook,2014,10.1007/s00421-014-2864-3,cooksb12014_pubmed_00240.pdf,ULLS,NA,30,bed_rest,30,NA,analogue,ulls_ex,countermeasure,BFR,blood flow restricted knee extensor exercise three times a week,8,8,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,quadriceps,NA,TRUE,NA,NA,NA,CSA,MRI,%,NA,NA,pct_only,NA,NA,NA,-1.0,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;no_dispersion_in_abstract;sign_inferred_from_wording,"the abstract prints unsigned magnitudes described as decrements, so the sign is taken from the wording. The exercise arm's knee extensor value is given as an insignificant reduction of about 1%"
cook2014__ulls_ex__triceps_surae__bed_rest_30__MRI_CSA,cook2014,cook_ulls30,30-day unilateral lower limb suspension,NA,Cook,2014,10.1007/s00421-014-2864-3,cooksb12014_pubmed_00240.pdf,ULLS,NA,30,bed_rest,30,NA,analogue,ulls_ex,countermeasure,BFR,blood flow restricted knee extensor exercise three times a week,8,8,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,triceps_surae,NA,TRUE,NA,NA,NA,CSA,MRI,%,NA,NA,pct_only,NA,NA,NA,-5.0,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;no_dispersion_in_abstract;sign_inferred_from_wording,"the abstract prints unsigned magnitudes described as decrements, so the sign is taken from the wording. The exercise arm's knee extensor value is given as an insignificant reduction of about 1%"
drummond2013__ctrl__whole_lower_limb__bed_rest_7__DXA_lean_mass,drummond2013,drummond_br7,7-day bed rest in older adults,NA,Drummond,2013,10.1152/ajpregu.00072.2013,drummondmj12013_pubmed_00216.pdf,horizontal_BR,NA,7,bed_rest,7,NA,analogue,ctrl,control,none,NA,6,6,NA,NA,NA,NA,NA,NA,healthy_older,NA,NA,NA,whole_lower_limb,NA,TRUE,NA,NA,NA,lean_mass,DXA,%,NA,NA,pct_only,NA,NA,NA,-4.0,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,low,FALSE,partial_record;approximate_value;no_dispersion_in_abstract,the abstract says participants lost about 4% leg lean mass; no dispersion given
rittweger2013__ctrl__whole_calf__bed_rest_89__CT_CSA,rittweger2013,medes_ltbr90,"Long Term Bed Rest (LTBR), MEDES Toulouse",NA,Rittweger,2013,10.1002/mus.23644,rittwegerj12013_pubmed_00227.pdf,HDBR_-6,-6,90,bed_rest,89,NA,analogue,ctrl,control,none,NA,17,17,M,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,whole_calf,NA,TRUE,NA,NA,NA,CSA,CT,%,NA,NA,pct_only,NA,NA,NA,-26.6,change,SD,3.8,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;pqct_reported_as_CT;n_derived_from_total_minus_exercise_group,"25 men of whom 8 performed flywheel exercise, so the control arm is 17. Same MEDES LTBR campaign as belavy2017 - the largest single loss in the dataset"
dirks2019__intermittent__quadriceps__bed_rest_7__CT_CSA,dirks2019,maastricht_br7_feeding,7-day bed rest with two feeding patterns,NA,Dirks,2019,10.1152/ajpendo.00378.2018,dirksml12019_pubmed_00384.pdf,horizontal_BR,NA,7,bed_rest,7,NA,analogue,intermittent,countermeasure,nutrition,intermittent feeding pattern,10,10,M,NA,25,1,NA,NA,healthy_young,NA,NA,NA,quadriceps,NA,TRUE,NA,NA,NA,CSA,CT,%,NA,NA,pct_only,NA,NA,NA,-1.1,change,SD,0.6,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;group_size_split_assumed_even,"20 men across two feeding patterns; the abstract does not give the split, so ten per arm is assumed and flagged. Same group as dirks2016 - check for participant overlap before treating them as separate cohorts"
dirks2019__continuous__quadriceps__bed_rest_7__CT_CSA,dirks2019,maastricht_br7_feeding,7-day bed rest with two feeding patterns,NA,Dirks,2019,10.1152/ajpendo.00378.2018,dirksml12019_pubmed_00384.pdf,horizontal_BR,NA,7,bed_rest,7,NA,analogue,continuous,countermeasure,nutrition,continuous feeding pattern,10,10,M,NA,25,1,NA,NA,healthy_young,NA,NA,NA,quadriceps,NA,TRUE,NA,NA,NA,CSA,CT,%,NA,NA,pct_only,NA,NA,NA,-0.8,change,SD,0.5,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;group_size_split_assumed_even,"20 men across two feeding patterns; the abstract does not give the split, so ten per arm is assumed and flagged. Same group as dirks2016 - check for participant overlap before treating them as separate cohorts"
holt2015__ctrl__lumbar_erector_spinae__bed_rest_60__MRI_CSA__total_paraspinal_csa,holt2015,wise2005,WISE-2005,NA,Holt,2015,10.1249/01.mss.0000478309.26945.3d,holt2015_wos_00614.pdf,HDBR_-6,-6,60,bed_rest,60,NA,analogue,ctrl,control,none,NA,NA,NA,F,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,lumbar_erector_spinae,NA,TRUE,NA,NA,total paraspinal CSA,CSA,MRI,%,NA,NA,pct_only,NA,NA,NA,-12.0,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,low,FALSE,partial_record;conference_abstract;no_dispersion;group_size_not_reported,"conference abstract for the same WISE-2005 analysis as holt2016, whose full paper gives 10.9% and 4.3% for total CSA - the two disagree slightly and the full paper should win when they are reconciled"
holt2015__ex__lumbar_erector_spinae__bed_rest_60__MRI_CSA__total_paraspinal_csa,holt2015,wise2005,WISE-2005,NA,Holt,2015,10.1249/01.mss.0000478309.26945.3d,holt2015_wos_00614.pdf,HDBR_-6,-6,60,bed_rest,60,NA,analogue,ex,countermeasure,combined,flywheel resistive exercise and LBNP treadmill,NA,NA,F,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,lumbar_erector_spinae,NA,TRUE,NA,NA,total paraspinal CSA,CSA,MRI,%,NA,NA,pct_only,NA,NA,NA,-6.0,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,low,FALSE,partial_record;conference_abstract;no_dispersion;group_size_not_reported,"conference abstract for the same WISE-2005 analysis as holt2016, whose full paper gives 10.9% and 4.3% for total CSA - the two disagree slightly and the full paper should win when they are reconciled"
holt2015__ctrl__lumbar_erector_spinae__bed_rest_60__MRI_CSA__paraspinal_functional_cs,holt2015,wise2005,WISE-2005,NA,Holt,2015,10.1249/01.mss.0000478309.26945.3d,holt2015_wos_00614.pdf,HDBR_-6,-6,60,bed_rest,60,NA,analogue,ctrl,control,none,NA,NA,NA,F,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,lumbar_erector_spinae,NA,TRUE,NA,NA,paraspinal functional CSA (lean tissue only),CSA,MRI,%,NA,NA,pct_only,NA,NA,NA,-19.0,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,low,FALSE,partial_record;conference_abstract;no_dispersion;group_size_not_reported,"conference abstract for the same WISE-2005 analysis as holt2016, whose full paper gives 10.9% and 4.3% for total CSA - the two disagree slightly and the full paper should win when they are reconciled"
holt2015__ex__lumbar_erector_spinae__bed_rest_60__MRI_CSA__paraspinal_functional_cs,holt2015,wise2005,WISE-2005,NA,Holt,2015,10.1249/01.mss.0000478309.26945.3d,holt2015_wos_00614.pdf,HDBR_-6,-6,60,bed_rest,60,NA,analogue,ex,countermeasure,combined,flywheel resistive exercise and LBNP treadmill,NA,NA,F,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,lumbar_erector_spinae,NA,TRUE,NA,NA,paraspinal functional CSA (lean tissue only),CSA,MRI,%,NA,NA,pct_only,NA,NA,NA,-5.0,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,low,FALSE,partial_record;conference_abstract;no_dispersion;group_size_not_reported,"conference abstract for the same WISE-2005 analysis as holt2016, whose full paper gives 10.9% and 4.3% for total CSA - the two disagree slightly and the full paper should win when they are reconciled"
hides2016__ctrl__multifidus__recovery_181__MRI_CSA__l2_vertebral_level,hides2016,iss_hides_astronauts,ISS long-duration missions (Hides series),NA,Hides,2016,10.1007/s00586-015-4311-5,hidesja12016_pubmed_00250.pdf,spaceflight,NA,180,recovery,181,1,spaceflight,ctrl,control,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,healthy_middle_aged,NA,NA,NA,multifidus,NA,FALSE,NA,mean,L2 vertebral level,CSA,MRI,%,NA,NA,pct_only,NA,NA,NA,7.0,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,low,FALSE,partial_record;age_not_published;crew_size_not_reported;duration_carried_from_companion_paper;values_read_from_prose,"values described in the text rather than tabulated - L2 and L3 both increase about 7%, L4 changes little, L5 falls from 9.86 to 6.99 cm2. Same crew series as hides2021, so one cohort"
hides2016__ctrl__multifidus__recovery_181__MRI_CSA__l3_vertebral_level,hides2016,iss_hides_astronauts,ISS long-duration missions (Hides series),NA,Hides,2016,10.1007/s00586-015-4311-5,hidesja12016_pubmed_00250.pdf,spaceflight,NA,180,recovery,181,1,spaceflight,ctrl,control,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,healthy_middle_aged,NA,NA,NA,multifidus,NA,FALSE,NA,mean,L3 vertebral level,CSA,MRI,%,NA,NA,pct_only,NA,NA,NA,7.0,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,low,FALSE,partial_record;age_not_published;crew_size_not_reported;duration_carried_from_companion_paper;values_read_from_prose,"values described in the text rather than tabulated - L2 and L3 both increase about 7%, L4 changes little, L5 falls from 9.86 to 6.99 cm2. Same crew series as hides2021, so one cohort"
hides2016__ctrl__multifidus__recovery_181__MRI_CSA__l4_vertebral_level,hides2016,iss_hides_astronauts,ISS long-duration missions (Hides series),NA,Hides,2016,10.1007/s00586-015-4311-5,hidesja12016_pubmed_00250.pdf,spaceflight,NA,180,recovery,181,1,spaceflight,ctrl,control,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,healthy_middle_aged,NA,NA,NA,multifidus,NA,FALSE,NA,mean,L4 vertebral level,CSA,MRI,%,NA,NA,pct_only,NA,NA,NA,-1.0,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,low,FALSE,partial_record;age_not_published;crew_size_not_reported;duration_carried_from_companion_paper;values_read_from_prose,"values described in the text rather than tabulated - L2 and L3 both increase about 7%, L4 changes little, L5 falls from 9.86 to 6.99 cm2. Same crew series as hides2021, so one cohort"
hides2016__ctrl__multifidus__recovery_181__MRI_CSA__l5_vertebral_level,hides2016,iss_hides_astronauts,ISS long-duration missions (Hides series),NA,Hides,2016,10.1007/s00586-015-4311-5,hidesja12016_pubmed_00250.pdf,spaceflight,NA,180,recovery,181,1,spaceflight,ctrl,control,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,healthy_middle_aged,NA,NA,NA,multifidus,NA,FALSE,NA,mean,L5 vertebral level,CSA,MRI,cm2,NA,NA,cm2,9.86,6.99,NA,-29.1,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,low,FALSE,partial_record;age_not_published;crew_size_not_reported;duration_carried_from_companion_paper;values_read_from_prose,"values described in the text rather than tabulated - L2 and L3 both increase about 7%, L4 changes little, L5 falls from 9.86 to 6.99 cm2. Same crew series as hides2021, so one cohort"
rejc2018__old__quadriceps__bed_rest_14__MRI_volume,rejc2018,izola_br14,"14-day bed rest, young and older men",NA,Rejc,2018,10.1113/jp274772,rejce12018_pubmed_00379.pdf,horizontal_BR,NA,14,bed_rest,14,NA,analogue,old,control,none,NA,NA,NA,M,NA,NA,NA,NA,NA,healthy_older,NA,NA,NA,quadriceps,NA,TRUE,NA,right,NA,volume,MRI,%,NA,NA,pct_only,NA,NA,NA,-8.3,change,NA,NA,NA,text,NA,abstract,qaragoz,2026-09-04,low,FALSE,partial_record;young_arm_value_unreadable;no_dispersion;group_size_not_recovered,"the older arm's 8.3% loss is legible; the young arm's value is mangled by PDF text extraction. Same campaign as pisot2016, which reports both arms cleanly - prefer that row and treat this one as a cross-check"
