record_id,year,first_author,doi,title,source,status,chars,muscle_tables,numeric_sentences,duration_hits,registry,modality,countermeasure
pubmed_00421,2025,Smeuninx B(1)(2),10.1113/jp285130,A single bout of prior resistance exercise attenuates muscle atrophy and declines in myofibrillar protein synt,xml,scanned,79806,2,19,2 days of limb immobilization | 7 days of limb immobilization | 2 days of immobilization,NCT04422665,MAGNETIC RESONANCE MRI ULTRASOUND,centrifugation centrifuged cycling leucine resistance exercise
pubmed_00360,2025,Dulac M(1)(2),10.1113/jp285897,A multimodal exercise countermeasure prevents the negative impact of head-down tilt bed rest on muscle volume ,xml,scanned,92866,0,2,10 days of bed rest | 28 days of bed rest | 2 weeks of bed rest,NCT04964999,MAGNETIC RESONANCE MRI,aerobic cycling flywheel resistance exercise resistance training
pubmed_00293,2024,Trappe TA(1),10.1152/japplphysiol.00489.2023,NASA SPRINT exercise program efficacy for vastus lateralis and soleus skeletal muscle health during 70 days of,missing,no full text,0,0,0,,,,
pubmed_00189,2024,Hansen SK(1)(2),10.14814/phy2.16166,Five days of bed rest in young and old adults: Retainment of skeletal muscle mass with neuromuscular electrica,xml,scanned,63142,1,10,5 days of bed rest | 5 days of sustained bed rest | 3 days prior to the bed rest,NCT05617222,DEXA DXA ULTRASOUND,centrifuged neuromuscular electrical stimulation protein supplementation resistance exercise resistance training
scopus_00458,2024,Arbeille P.,10.3389/fphys.2024.1482860,Exercise combined with artificial gravity and exercise only countermeasures prevent organ and blood vessel mor,xml,scanned,30205,1,0,6 months spaceflight | 55 days of 6° head-down | 55 days of HDT,,CT MRI PQCT ULTRASOUND,aerobic artificial gravity centrifugation centrifuge cycling
pubmed_00866,2024,Shur NF(1)(2),10.1002/jcsm.13431,Bed-rest and exercise remobilization: Concurrent adaptations in muscle glucose and protein metabolism.,xml,scanned,48336,1,10,4 days of unilateral immobilization | 14 days of leg immobilization | 7 days of immobilization,NCT03495128 NCT03594799,MAGNETIC RESONANCE MRI ULTRASONOGRAPHY ULTRASOUND,resistance exercise resistance training testosterone
pubmed_00268,2023,Murgia M(1)(2),10.1002/jcsm.13146,Plasma proteome profiling of healthy subjects undergoing bed rest reveals unloading-dependent changes linked t,xml,scanned,52667,0,7,10 days of continuous bed rest | 10 days of bed rest | 2 days of free re‐ambulation post bed rest,,MAGNETIC RESONANCE MRI,
pubmed_00152,2023,Trappe TA(1),10.1152/japplphysiol.00412.2023,Microgravity-induced skeletal muscle atrophy in women and men: implications for long-duration spaceflights to ,pdf,scanned,25938,0,7,60-day bed rest | 90-day bed rest | 90 days of bed rest,,MAGNETIC RESONANCE MRI,aerobic resistance exercise
pubmed_00024,2023,Hajj-Boutros G(1),10.1159/000534063,"Impact of 14 Days of Bed Rest in Older Adults and an Exercise Countermeasure on Body Composition, Muscle Stren",xml,scanned,43789,2,1,10 days of bed rest | 14 days of bed rest | 14 days of HDBR,NCT04964999,COMPUTED TOMOGRAPHY DUAL-ENERGY X-RAY DXA MRI,aerobic centrifuged cycling flywheel resistance training
scopus_00516,2022,De Martino E.,10.3389/fphys.2022.862793,The Effects of Reconditioning Exercises Following Prolonged Bed Rest on Lumbopelvic Muscle Volume and Accumula,xml,scanned,42133,1,6,60-days of HDT | 60 days of HDT | 60-day HDT,DRKS00015677,MAGNETIC RESONANCE MRI,artificial gravity centrifugation centrifuge resistance training treadmill
scopus_00787,2022,Robin A.,10.3389/fphys.2022.902983,Running vs. resistance exercise to counteract deconditioning induced by 90-day head-down bedrest,xml,scanned,62909,2,11,90-day HDBR | 20-day horizontal bedrest | 30-day HDBR,,DEXA MAGNETIC RESONANCE MRI,aerobic cycling flywheel lower body negative pressure resistance exercise
pubmed_00662,2022,Sarto F(1),10.1113/jp283381,"Effects of short-term unloading and active recovery on human motor unit properties, neuromuscular junction tra",xml,scanned,65207,0,5,3 days of dry immersion | 14 days of bed rest | 10 days of bed rest,,ULTRASONOGRAPHY ULTRASOUND,centrifuged resistance exercise resistance training
scopus_00954,2022,Vinci P.,10.3389/fnut.2022.976818,Early lean mass sparing effect of high-protein diet with excess leucine during long-term bed rest in women,xml,scanned,33951,3,13,60 days of strict 6° head-down | 60-days of bed rest | 15 days and during entire bed rest,,COMPUTED TOMOGRAPHY CT DUAL-ENERGY X-RAY DXA,leucine neuromuscular electrical stimulation protein supplement protein supplementation protein supplements
pubmed_00880,2022,Franchi MV,10.1249/mss.0000000000002922,Early Changes of Hamstrings Morphology and Contractile Properties during 10 d of Complete Inactivity.,pdf,scanned,42807,0,14,20 days of bed rest | 17 weeks of bed rest | 23 day unilateral lower-limb suspension,,MAGNETIC RESONANCE MRI ULTRASONOGRAPHY ULTRASOUND,resistance exercise
scopus_00694,2022,Böcker J.,10.3389/fphys.2021.743876,Between-Subject and Within-Subject Variaton of Muscle Atrophy and Bone Loss in Response to Experimental Bed Re,xml,scanned,65966,1,1,14 days of unloading | 35 days of bed rest | 60 days of bed rest,,COMPUTED TOMOGRAPHY CT MAGNETIC RESONANCE PQCT,artificial gravity centrifugation flywheel reactive jumps resistance training
pubmed_00935,2021,Hides JA(1),10.1016/j.spinee.2020.09.006,The effects of exposure to microgravity and reconditioning of the lumbar multifidus and anterolateral abdomina,pdf,scanned,62920,0,6,,,MAGNETIC RESONANCE MRI ULTRASOUND,resistance exercise resistance training treadmill
pubmed_00344,2021,Smeuninx B(1),10.1002/jcsm.12661,The effect of short-term exercise prehabilitation on skeletal muscle protein synthesis and atrophy during bed ,xml,scanned,79939,2,11,5 days of bed rest | 5 day period of strict bed rest | 5 days of in‐hospital bed rest,NCT04422665,MAGNETIC RESONANCE MRI,centrifugation centrifuged cycling leucine resistance exercise
pubmed_00343,2021,De Martino E(1),10.1152/japplphysiol.00990.2020,Lumbar muscle atrophy and increased relative intramuscular lipid concentration are not mitigated by daily arti,pdf,scanned,69132,0,5,60-day head- down tilt bed rest | 60-day head-down | 5-day and 21-day HDT,DRKS00015677,COMPUTED TOMOGRAPHY CT MAGNETIC RESONANCE MRI,aerobic centrifugal centrifugation lower body negative pressure resistive vibration
scopus_00673,2021,Tran V.,10.3389/fphys.2021.745811,Gluteal Muscle Atrophy and Increased Intramuscular Lipid Concentration Are Not Mitigated by Daily Artificial G,xml,scanned,43031,5,11,60-day HDT | 5-day HDT | 14 days before commencing 60 days of strict 6° HDT,,MAGNETIC RESONANCE MRI,artificial gravity centrifugation centrifuge
scopus_00915,2021,Vassilieva G.Y.,10.1134/s0362119721030178,Dynamics of Body Composition Indices and Biochemical Parameters in Participants of Countermeasure-Free 21-Day ,pdf,scanned,40980,0,0,21-Day “Dry” Immersion | 21-day model experiment with dry immersion | 21-Day dry immersion,,DUAL-ENERGY X-RAY,centrifuge centrifuged
pubmed_00342,2021,Mekjavic IB(1)(2),10.1113/ep087834,Do females and males exhibit a similar sarcopenic response as a consequence of normoxic and hypoxic bed rest?,pdf,scanned,78793,0,11,10-day hypoxic bed rest | 10-day bed rest | 10-day unloading,,COMPUTED TOMOGRAPHY DUAL-ENERGY X-RAY DXA PQCT,aerobic cycling flywheel resistance exercise
scopus_00598,2020,Dolopikou C.F.,10.1016/j.actaastro.2019.12.002,Systemic redox biomarkers suggest non-redox mediated processes in the prevention of bed rest-induced muscle at,pdf,scanned,45156,0,0,60 days of head tilt down bed rest | 60-day bed rest | 5 days [37] of bed rest,,,centrifuged
pubmed_00130,2020,Gawel SH(1),10.1016/j.cca.2020.06.003,Serum biomarkers that predict lean mass loss over bed rest in older adults: An exploratory study.,pdf,scanned,39704,0,2,10 days of complete bed rest | 10 days of extended bed rest | 10-day bed rest,NCT00945581,COMPUTED TOMOGRAPHY CT DEXA DUAL ENERGY X-RAY,aerobic
scopus_00594,2020,Liphardt A.-M.,10.1002/tsm2.122,Response of thigh muscle cross-sectional area to 21-days of bed rest with exercise and nutrition countermeasur,pdf,scanned,63474,0,22,21-days of bed rest | 6 days after 21-days of bed rest | 21-days bed rest,,DUAL-ENERGY X-RAY DXA MAGNETIC RESONANCE MRI,protein supplementa protein supplementation31 resistance exercise resistive vibration treadmill
scopus_00973,2020,Ward K.,10.3389/fphys.2020.573581,Fetuin-A as a Potential Biomarker of Metabolic Variability Following 60 Days of Bed Rest,xml,scanned,51330,1,2,60 day bed rest | 60 days of strict 6° head-down | 49-days HDT,DRKS00012946,DEXA DUAL-ENERGY X-RAY,aerobic centrifugation centrifuged cycling reactive jump
pubmed_00249,2020,Bosutti A(1),10.1007/s00421-020-04333-5,Effects of 21 days of bed rest and whey protein supplementation on plantar flexor muscle fatigue resistance du,xml,scanned,62640,0,1,19 days’ bed rest | 19 days of bed rest | 21 days of bed rest,NCT01655979,COMPUTED TOMOGRAPHY MAGNETIC RESONANCE MRI PQCT,aerobic centrifugation cycling protein supplementation resistance exercise
scopus_00738,2020,Scott J.M.,10.1097/cce.0000000000000269,Disuse-Induced Muscle Loss and Rehabilitation: The National Aeronautics and Space Administration Bed Rest Stud,xml,scanned,13524,0,1,,NCT00891449,CT MRI ULTRASOUND,aerobic resistance exercise
pubmed_00047,2020,Arentson-Lantz EJ(1)(2),10.1152/japplphysiol.00847.2019,Countering disuse atrophy in older adults with low-volume leucine supplementation.,pdf,scanned,56841,0,6,7-day bed rest | 14-day bed rest | 7 days of horizontal bed rest,NCT01846130,DEXA DUAL-ENERGY X-RAY,aerobic leucine protein supplementation resistance exercise resistance training
pubmed_00348,2019,McDonnell AC(1),10.1113/ep087482,The LunHab project: Muscle and bone alterations in male participants following a 10 day lunar habitat simulati,pdf,scanned,64571,0,11,10 day) bed rest | 7 days of bed rest | 5 weeks of bed rest,,COMPUTED TOMOGRAPHY DUAL-ENERGY X-RAY DXA MAGNETIC RESONANCE,aerobic centrifuged flywheel resistance exercise resistive vibration
pubmed_00440,2019,Arentson-Lantz EJ(1)(2),10.1093/gerona/glz003,Improving Dietary Protein Quality Reduces the Negative Effects of Physical Inactivity on Body Composition and ,pdf,scanned,36921,0,4,7 days of bed rest | 7 days of horizontal bed rest | 7-day bed rest,NCT01846130,DUAL-ENERGY X-RAY,aerobic leucine protein supplementation resistance training
pubmed_00384,2019,Dirks ML(1),10.1152/ajpendo.00378.2018,Dietary feeding pattern does not modulate the loss of muscle mass or the decline in metabolic health during sh,pdf,scanned,63594,0,6,1 wk of strict bed rest | 7 days before bed rest | 7-day bed rest,NCT02521025,COMPUTED TOMOGRAPHY CT DUAL ENERGY X-RAY DUAL-ENERGY X-RAY,centrifuged leucine neuromuscular electrical stimulation protein supplementation resistance exercise
pubmed_00379,2018,Rejc E(1)(2),10.1113/jp274772,Loss of maximal explosive power of lower limbs after 2 weeks of disuse and incomplete recovery after retrainin,pdf,scanned,99450,0,22,2 weeks of immobilization | 1 week of lower limb suspension | 4 days of one-leg immobilization,,CT MAGNETIC RESONANCE MRI,aerobic protein supplementation resistance exercise resistance training
scopus_01419,2018,Debevec T.,10.3389/fphys.2018.00494,Hypoxia aggravates inactivity-Related muscle wasting,xml,scanned,36349,1,8,3 weeks of bed rest | 21-day long experimental interventions: (i) bed rest | 10 days of both bed rest,NCT02637921,COMPUTED TOMOGRAPHY DEXA PQCT,aerobic cycling
pubmed_00079,2018,Dillon EL(1),10.1249/mss.0000000000001616,Efficacy of Testosterone plus NASA Exercise Countermeasures during Head-Down Bed Rest.,missing,no full text,0,0,0,,,,
pubmed_00337,2017,Reidy PT(1),10.1089/rej.2017.1942,Neuromuscular Electrical Stimulation Combined with Protein Ingestion Preserves Thigh Muscle Mass But Not Muscl,pdf,scanned,61266,0,5,5 Days of Bed Rest | 5 days of continuous bed rest | 14 days of bed rest,NCT02566590,CT DUAL ENERGY X-RAY DXA,aerobic leucine neuromuscular electrical stimulation protein supplement protein supplementa
pubmed_00352,2017,Kramer A(1),10.1038/s41598-017-13659-8,"How to prevent the detrimental effects of two months of bed-rest on muscle, bone and cardiovascular system: an",xml,scanned,37561,2,5,60 days of strict bed rest | 14 days in the bed rest | 60 days of bed rest,DRKS00012946,COMPUTED TOMOGRAPHY DUAL ENERGY X-RAY DXA PQCT,aerobic flywheel reactive jumping resistance exercise resistance training
scopus_01130,2017,Belavý D.L.,10.1136/bmjsem-2016-000196,High-intensity flywheel exercise and recovery of atrophy after 90 days bed Arest,xml,scanned,30243,3,6,90 days of 6° head-down,,CT MAGNETIC RESONANCE MRI,aerobic cycling flywheel lower body negative pressure resistance exercise
pubmed_00280,2017,Biolo G(1),10.1016/j.clnu.2016.09.019,Anabolic resistance assessed by oral stable isotope ingestion following bed rest in young and older adult volu,pdf,scanned,41036,0,2,"2-weeks of inactivity, there were signiﬁcant bed rest | 14-day experimental bed rest | 3 days before bed rest",NCT02694471,MAGNETIC RESONANCE MRI,centrifuged leucine resistance exercise
pubmed_00310,2016,Holt JA(1),10.1152/japplphysiol.00532.2015,WISE 2005: Aerobic and resistive countermeasures prevent paraspinal muscle deconditioning during 60-day bed re,pdf,scanned,49766,0,17,"60-day bed rest | 60 days of bed rest | 60-day, 6° head-down",,CT MAGNETIC RESONANCE MRI,aerobic cycling flywheel lower body negative pressure resistance exercise
pubmed_00425,2016,Schneider SM(1),10.14814/phy2.12892,Treadmill exercise within lower body negative pressure protects leg lean tissue mass and extensor strength and,xml,scanned,43617,2,1,30 days of bed rest | 10 days of unilateral lower limb suspension,,DXA,aerobic flywheel lower body negative pressure resistance exercise testosterone
scopus_01121,2016,Cavanagh P.R.,10.1016/j.bonr.2016.10.001,Replacement of daily load attenuates but does not prevent changes to the musculoskeletal system during bed res,xml,scanned,56234,0,8,84 days of bed rest | 84-day bed rest | 5 weeks of bed rest,,CT DXA MAGNETIC RESONANCE MRI,aerobic cycling lower body negative pressure resistance exercise resistance training
pubmed_00039,2016,Dirks ML(1),10.2337/db15-1661,One Week of Bed Rest Leads to Substantial Muscle Atrophy and Induces Whole-Body Insulin Resistance in the Abse,missing,no full text,0,0,0,,,,
pubmed_00109,2016,English KL(1),10.3945/ajcn.115.112359,Leucine partially protects muscle mass and function during bed rest in middle-aged adults.,pdf,scanned,50454,0,10,10 days of bed rest | 28 days bedrest | 3 days unloading,NCT00968344,DUAL-ENERGY X-RAY DXA,aerobic centrifugation centrifuged leucine protein supplementation
pubmed_00392,2016,Pišot R(1),10.1152/japplphysiol.00858.2015,Greater loss in muscle mass and function but smaller metabolic alterations in older compared with younger men ,pdf,scanned,48311,0,0,2 wk of bed rest | 14 days of bed rest | 5 wk of bed rest,,MAGNETIC RESONANCE MRI,aerobic resistance training
pubmed_00250,2016,Hides JA(1),10.1007/s00586-015-4311-5,Changes in multifidus and abdominal muscle size in response to microgravity: possible implications for low bac,pdf,scanned,36285,0,6,60 days of pro- longed bed rest | 8 weeks of bed rest,,CT MAGNETIC RESONANCE MRI ULTRASONOGRAPHY,resistance exercise treadmill whole body vibration
pubmed_00472,2016,Hackney KJ(1),10.3357/amhp.4566.2016,Blood Flow Restricted Exercise Compared to High Load Resistance Exercise During Unloading.,pdf,scanned,46486,0,13,30 days of muscular unloading | 23 day unilateral lower-limb suspension,,MRI,blood flow restricted blood flow restriction flywheel resistance exercise resistance training
wos_00614,2015,Holt,10.1249/01.mss.0000478309.26945.3d,WISE 2005: Aerobic and Resistive Exercises Protect Lumbar Paraspinal Lean Muscle Mass during 60 day Bed Rest i,pdf,scanned,7436,0,2,"2 weeks of immobilization | 60 day Bed Rest | 60-day, 6° head-down",,,aerobic flywheel lower body negative pressure treadmill
pubmed_00193,2015,Mulder E(1),10.1007/s00421-014-3045-0,Musculoskeletal effects of 5 days of bed rest with and without locomotion replacement training.,xml,scanned,42712,2,4,5 days of HDT | 5-day study was part of a series of bed rest | 5 days of bed rest,,DEXA DUAL ENERGY X-RAY MAGNETIC RESONANCE MRI,centrifugation centrifuged lower body negative pressure reactive jumps treadmill
pubmed_00416,2015,Rejc E(1),10.1007/s00421-014-3024-5,Maximal explosive power of the lower limbs before and after 35 days of bed rest under different diet energy in,pdf,scanned,36941,0,20,35 days of bed rest | 90 days of bed rest | 5 wk of bed rest,,,leucine protein supplementation resistance exercise
pubmed_00100,2015,Coker RH(1),10.1093/gerona/glu123,"Bed rest promotes reductions in walking speed, functional parameters, and aerobic fitness in older, healthy ad",pdf,scanned,26730,0,0,10 days of bed rest,,DUAL ENERGY X-RAY DXA ULTRASOUND,aerobic
pubmed_00386,2015,Tanner RE(1),10.1113/jp270699,"Age-related differences in lean mass, protein synthesis and skeletal muscle markers of proteolysis after bed r",pdf,scanned,64906,0,4,5 days of bed rest | 5-day bed rest | 10 days bed rest,,CT DUAL-ENERGY X-RAY DXA,aerobic centrifuged leucine protein supplementation resistance exercise
pubmed_00095,2014,Lee SM(1),10.1152/japplphysiol.00590.2013,WISE-2005: Countermeasures to prevent muscle deconditioning during bed rest in women.,pdf,scanned,86117,0,8,60 days of bed rest | 60 days of strict 6° head- down-tilt bed rest | 30-day bed rest,,DEXA MAGNETIC RESONANCE MRI,aerobic cycling flywheel lower body negative pressure protein supplementation
pubmed_00800,2014,Debevec T(1),10.1139/apnm-2013-0278,Whole body and regional body composition changes following 10-day hypoxic confinement and unloading-inactivity,missing,no full text,0,0,0,,,,
pubmed_00369,2014,Krainski F(1),10.1152/japplphysiol.00803.2013,The effect of rowing ergometry and resistive exercise on skeletal muscle structure and function during bed res,pdf,scanned,65445,0,6,5 wk of head-down | 5 wk of 6° head-down | 2 days during each week of bed rest,,MAGNETIC RESONANCE MRI,aerobic centrifuged cycling resistance exercise resistance training
pubmed_00240,2014,Cook SB(1),10.1007/s00421-014-2864-3,Neuromuscular function following muscular unloading and blood flow restricted exercise.,pdf,scanned,42558,0,8,30 days of unilateral lower limb suspension | 30 days of unloading | 30 days of limb suspension,,MAGNETIC RESONANCE MRI,blood flow restricted blood flow restriction resistance exercise resistance training
pubmed_00153,2014,Miokovic T(1),10.1249/mss.0000000000000279,"Muscle atrophy, pain, and damage in bed rest reduced by resistive (vibration) exercise.",pdf,scanned,56756,0,3,15 days after bed rest | 2 wk of bed rest | 2 wk after bed rest,,MAGNETIC RESONANCE,aerobic centrifuged cycling lower body negative pressure reactive jumps
pubmed_00149,2014,Ploutz-Snyder LL(1),10.1249/mss.0b013e3182a62f85,Integrated resistance and aerobic exercise protects fitness during bed rest.,pdf,scanned,59838,0,8,2 wk of pre– bed rest | 3 wk of pre–bed rest | 1 wk of unloading,,CT MAGNETIC RESONANCE MRI ULTRASOUND,aerobic artificial gravity flywheel lower body negative pressure resistance exercise
scopus_01685,2013,Šimunic B.,,Tensiomyographic measurement of atrophy related processes during bed rest and recovery,missing,no full text,0,0,0,,,,
pubmed_00216,2013,Drummond MJ(1),10.1152/ajpregu.00072.2013,Short-term bed rest increases TLR4 and IL-6 expression in skeletal muscle of older adults.,pdf,scanned,46006,0,4,7-days of bed rest | 7-day bed rest | 7 days of bed rest,,CT DUAL-ENERGY X-RAY DXA,centrifuged cycling resistance training
pubmed_00227,2013,Rittweger J(1),10.1002/mus.23644,Muscle X-ray attenuation is not decreased during experimental bed rest.,pdf,scanned,49548,0,3,4 weeks of immobilization | 37 days of bed rest | 2 weeks before the onset of bed rest,,COMPUTED TOMOGRAPHY CT DUAL-ENERGY X-RAY MAGNETIC RESONANCE,aerobic flywheel resistance exercise resistance training resistive vibration
pubmed_00362,2013,Deutz NE(1),10.1016/j.clnu.2013.02.011,Effect of β-hydroxy-β-methylbutyrate (HMB) on lean body mass during 10 days of bed rest in older adults.,pdf,scanned,64450,0,10,10 days of bed rest | 5 days prior to bed rest | 28 days of bed rest,NCT00945581,DXA ULTRASOUND,aerobic leucine resistance exercise resistance training testosterone
