muscle,muscle_family,muscle_function_class,components,fibre_profile,rationale
pectineus,hip_flexors,flexor,,unknown,Flexes and adducts the hip
peroneals,evertors,mixed,,unknown,Evert the foot and assist plantarflexion weakly; a stabiliser rather than a supporter
plantar_flexors,plantar_flexors,antigravity_extensor,soleus|gastrocnemius_medialis|gastrocnemius_lateralis|tibialis_posterior|flexor_digitorum_longus|flexor_hallucis_longus|peroneals,mixed,Whole posterior compartment reported as one value
popliteus,knee_flexors,mixed,,unknown,Unlocks and rotates the knee; a small stabiliser
posterior_thigh_compartment,knee_flexors,mixed,hamstrings|adductor_magnus,unknown,Compartment measurement dominated by the hamstrings
psoas,hip_flexors,flexor,,unknown,Hip flexor; unloaded rather than loaded by upright stance
quadratus_femoris,hip_rotators,mixed,,unknown,Deep external rotator and joint stabiliser
quadratus_lumborum,trunk_extensors,mixed,,unknown,Lateral flexor and stabiliser of the lumbar spine rather than a pure extensor
quadriceps,knee_extensors,antigravity_extensor,rectus_femoris|vastus_lateralis|vastus_medialis|vastus_intermedius,mixed,Principal knee extensor group; resists knee collapse under body weight
rectus_femoris,knee_extensors,mixed,,mixed,Crosses two joints - extends the knee but flexes the hip; loses less than the vasti in bed rest
sartorius,hip_flexors,flexor,,unknown,Flexes and externally rotates the hip and assists knee flexion
semimembranosus,knee_flexors,mixed,,unknown,Crosses two joints - extends the hip and flexes the knee
semitendinosus,knee_flexors,mixed,,unknown,Crosses two joints - extends the hip and flexes the knee
soleus,plantar_flexors,antigravity_extensor,,slow_dominant,Monoarticular plantarflexor carrying continuous postural load in stance; roughly 80% type I fibres
tibialis_anterior,dorsiflexors,flexor,,slow_dominant,Ankle dorsiflexor. Slow-fibre dominant but not weight-bearing - the case that separates fibre type from mechanical role
tibialis_posterior,plantar_flexors,antigravity_extensor,,unknown,Plantarflexes and inverts the ankle and supports the medial arch
triceps_surae,plantar_flexors,antigravity_extensor,soleus|gastrocnemius_medialis|gastrocnemius_lateralis,mixed,Soleus plus both gastrocnemius heads reported as one value
vasti,knee_extensors,antigravity_extensor,vastus_lateralis|vastus_medialis|vastus_intermedius,mixed,The three monoarticular knee extensors reported as one value
vastus_intermedius,knee_extensors,antigravity_extensor,,mixed,Monoarticular knee extensor
vastus_lateralis,knee_extensors,antigravity_extensor,,fast_leaning,Monoarticular knee extensor
vastus_medialis,knee_extensors,antigravity_extensor,,mixed,Monoarticular knee extensor
whole_calf,whole_limb,mixed,,mixed,Whole-segment measurement spanning muscles of every functional class
whole_lower_limb,whole_limb,mixed,,mixed,Whole-segment measurement spanning muscles of every functional class
whole_thigh,whole_limb,mixed,,mixed,Whole-segment measurement spanning muscles of every functional class
